Id,Category
1,7
2,12
3,6
4,4
5,6
6,2
7,2
8,4
9,10
10,8
11,12
12,10
13,7
14,6
15,4
16,10
17,2
18,2
19,9
20,5
21,7
22,4
23,9
24,5
25,9
26,12
27,2
28,6
29,2
30,9
31,11
32,2
33,7
34,7
35,9
36,4
37,8
38,3
39,8
40,9
41,6
42,2
43,6
44,8
45,4
46,10
47,2
48,4
49,12
50,8
51,10
52,10
53,1
54,5
55,9
56,2
57,8
58,3
59,11
60,11
61,6
62,5
63,12
64,1
65,5
66,6
67,8
68,1
69,2
70,8
71,3
72,2
73,1
74,2
75,7
76,11
77,10
78,2
79,1
80,9
81,6
82,6
83,4
84,4
85,11
86,6
87,9
88,3
89,2
90,3
91,7
92,8
93,12
94,1
95,2
96,6
97,4
98,2
99,10
100,5
101,8
102,7
103,1
104,8
105,4
106,4
107,6
108,8
109,10
110,7
111,1
112,10
113,4
114,10
115,9
116,8
117,5
118,1
119,12
120,8
121,3
122,2
123,3
124,11
125,3
126,6
127,11
128,3
129,6
130,8
131,8
132,8
133,4
134,6
135,10
136,12
137,6
138,4
139,6
140,4
141,4
142,2
143,2
144,6
145,2
146,12
147,2
148,2
149,9
150,9
151,5
152,2
153,1
154,5
155,10
156,6
157,2
158,10
159,8
160,6
161,7
162,7
163,8
164,8
165,3
166,10
167,3
168,5
169,3
170,4
171,1
172,12
173,7
174,6
175,7
176,5
177,4
178,12
179,6
180,9
181,9
182,10
183,4
184,4
185,9
186,3
187,11
188,3
189,12
190,9
191,2
192,11
193,12
194,7
195,5
196,6
197,9
198,4
199,1
200,12
201,12
202,10
203,12
204,6
205,2
206,6
207,9
208,9
209,11
210,10
211,8
212,4
213,5
214,11
215,5
216,1
217,11
218,6
219,3
220,1
221,8
222,5
223,5
224,6
225,7
226,4
227,6
228,1
229,3
230,4
231,9
232,7
233,9
234,10
235,11
236,2
237,8
238,10
239,9
240,8
241,1
242,3
243,4
244,8
245,3
246,1
247,12
248,3
249,12
250,8
251,3
252,7
253,9
254,4
255,2
256,7
257,3
258,4
259,12
260,4
261,12
262,5
263,1
264,4
265,2
266,12
267,6
268,7
269,4
270,11
271,2
272,10
273,6
274,12
275,7
276,11
277,5
278,5
279,8
280,11
281,2
282,1
283,5
284,8
285,12
286,4
287,7
288,10
289,4
290,2
291,6
292,1
293,9
294,2
295,3
296,7
297,8
298,5
299,8
300,11
301,9
302,5
303,7
304,3
305,9
306,5
307,1
308,4
309,4
310,1
311,3
312,11
313,8
314,11
315,4
316,11
317,3
318,12
319,5
320,3
321,10
322,5
323,7
324,9
325,10
326,5
327,2
328,4
329,10
330,12
331,7
332,12
333,8
334,12
335,10
336,3
337,7
338,8
339,11
340,8
341,12
342,2
343,4
344,6
345,2
346,3
347,3
348,9
349,4
350,10
351,7
352,3
353,9
354,1
355,7
356,12
357,5
358,7
359,12
360,4
361,10
362,3
363,11
364,4
365,11
366,10
367,3
368,12
369,4
370,10
371,10
372,6
373,11
374,2
375,2
376,11
377,1
378,9
379,10
380,2
381,6
382,5
383,10
384,4
385,10
386,3
387,11
388,12
389,3
390,1
391,7
392,1
393,10
394,11
395,9
396,3
397,8
398,12
399,11
400,8
401,10
402,11
403,7
404,1
405,4
406,6
407,6
408,11
409,1
410,5
411,3
412,3
413,9
414,4
415,3
416,2
417,3
418,10
419,5
420,8
421,12
422,6
423,8
424,12
425,5
426,8
427,4
428,11
429,4
430,4
431,11
432,6
433,3
434,1
435,3
436,4
437,12
438,10
439,9
440,11
441,6
442,9
443,6
444,10
445,6
446,11
447,1
448,12
449,4
450,1
451,2
452,6
453,11
454,4
455,10
456,3
457,9
458,3
459,1
460,11
461,9
462,12
463,12
464,7
465,11
466,6
467,11
468,1
469,2
470,9
471,5
472,5
473,8
474,1
475,5
476,1
477,9
478,7
479,1
480,5
481,6
482,8
483,3
484,1
485,6
486,9
487,8
488,11
489,4
490,3
491,3
492,10
493,9
494,11
495,9
496,8
497,6
498,7
499,12
500,12
501,5
502,2
503,6
504,7
505,1
506,11
507,11
508,6
509,3
510,9
511,9
512,6
513,3
514,10
515,11
516,2
517,12
518,1
519,6
520,1
521,3
522,9
523,9
524,4
525,4
526,2
527,1
528,10
529,4
530,7
531,12
532,9
533,6
534,8
535,8
536,3
537,10
538,7
539,6
540,9
541,7
542,4
543,1
544,8
545,9
546,8
547,7
548,6
549,4
550,6
551,10
552,12
553,4
554,10
555,2
556,1
557,6
558,7
559,3
560,2
561,9
562,5
563,7
564,9
565,8
566,7
567,10
568,9
569,4
570,10
571,8
572,8
573,1
574,11
575,2
576,11
577,5
578,6
579,10
580,2
581,8
582,12
583,8
584,1
585,9
586,4
587,9
588,5
589,7
590,3
591,11
592,5
593,1
594,1
595,8
596,12
597,4
598,9
599,4
600,2
601,7
602,5
603,12
604,4
605,8
606,7
607,8
608,7
609,4
610,2
611,9
612,1
613,10
614,5
615,10
616,12
617,6
618,1
619,10
620,8
621,7
622,7
623,4
624,9
625,5
626,11
627,5
628,10
629,10
630,1
631,5
632,12
633,5
634,4
635,8
636,11
637,10
638,7
639,9
640,9
641,6
642,11
643,6
644,12
645,10
646,2
647,3
648,2
649,7
650,1
651,6
652,12
653,9
654,11
655,6
656,4
657,3
658,12
659,10
660,12
661,9
662,3
663,4
664,1
665,1
666,4
667,3
668,9
669,11
670,5
671,2
672,10
673,6
674,9
675,9
676,6
677,8
678,8
679,7
680,3
681,7
682,9
683,6
684,9
685,9
686,12
687,4
688,5
689,5
690,1
691,8
692,7
693,5
694,6
695,6
696,4
697,3
698,2
699,2
700,12
701,6
702,9
703,4
704,1
705,8
706,5
707,8
708,11
709,2
710,8
711,7
712,7
713,6
714,12
715,3
716,7
717,8
718,1
719,8
720,11
721,5
722,6
723,2
724,7
725,11
726,3
727,2
728,3
729,9
730,9
731,8
732,6
733,4
734,8
735,7
736,8
737,2
738,9
739,9
740,12
741,10
742,3
743,12
744,3
745,3
746,1
747,4
748,4
749,8
750,5
751,3
752,5
753,2
754,10
755,2
756,9
757,10
758,1
759,2
760,1
761,10
762,1
763,8
764,6
765,10
766,5
767,1
768,3
769,9
770,7
771,11
772,9
773,2
774,12
775,9
776,1
777,9
778,6
779,1
780,2
781,1
782,8
783,3
784,2
785,7
786,12
787,8
788,9
789,3
790,3
791,1
792,8
793,7
794,6
795,11
796,12
797,10
798,3
799,9
800,10
801,8
802,10
803,12
804,8
805,1
806,3
807,1
808,12
809,6
810,10
811,6
812,6
813,6
814,11
815,11
816,8
817,4
818,4
819,3
820,9
821,10
822,10
823,10
824,4
825,10
826,8
827,3
828,5
829,6
830,7
831,7
832,5
833,4
834,9
835,12
836,8
837,8
838,9
839,5
840,6
841,7
842,12
843,6
844,8
845,6
846,7
847,1
848,10
849,9
850,3
851,1
852,10
853,7
854,8
855,8
856,9
857,11
858,8
859,2
860,9
861,6
862,8
863,8
864,9
865,1
866,3
867,3
868,12
869,7
870,9
871,9
872,1
873,3
874,4
875,11
876,3
877,3
878,9
879,8
880,9
881,11
882,9
883,1
884,8
885,12
886,2
887,7
888,12
889,3
890,7
891,2
892,9
893,4
894,3
895,12
896,9
897,10
898,9
899,9
900,7
901,3
902,6
903,7
904,10
905,3
906,7
907,10
908,5
909,7
910,9
911,3
912,8
913,1
914,7
915,7
916,1
917,11
918,10
919,10
920,10
921,5
922,2
923,5
924,8
925,12
926,2
927,9
928,1
929,10
930,6
931,1
932,11
933,2
934,2
935,4
936,4
937,8
938,9
939,12
940,12
941,10
942,4
943,12
944,5
945,3
946,8
947,1
948,1
949,3
950,3
951,9
952,6
953,11
954,5
955,11
956,9
957,8
958,2
959,7
960,6
961,5
962,2
963,4
964,5
965,5
966,2
967,4
968,4
969,10
970,5
971,11
972,4
973,10
974,8
975,1
976,9
977,1
978,9
979,11
980,6
981,8
982,8
983,3
984,10
985,4
986,12
987,4
988,7
989,5
990,3
991,7
992,2
993,2
994,2
995,4
996,10
997,7
998,11
999,12
1000,4
1001,3
1002,7
1003,5
1004,11
1005,4
1006,11
1007,7
1008,9
1009,5
1010,1
1011,3
1012,7
1013,1
1014,7
1015,4
1016,9
1017,11
1018,1
1019,5
1020,6
1021,1
1022,1
1023,1
1024,11
1025,12
1026,5
1027,4
1028,7
1029,10
1030,10
1031,11
1032,10
1033,1
1034,12
1035,1
1036,1
1037,9
1038,7
1039,7
1040,7
1041,1
1042,3
1043,2
1044,12
1045,1
1046,1
1047,8
1048,5
1049,2
1050,8
1051,9
1052,10
1053,4
1054,6
1055,5
1056,8
1057,10
1058,12
1059,2
1060,4
1061,5
1062,12
1063,5
1064,11
1065,3
1066,3
1067,12
1068,12
1069,8
1070,7
1071,5
1072,10
1073,10
1074,1
1075,1
1076,4
1077,10
1078,8
1079,12
1080,2
1081,8
1082,4
1083,2
1084,11
1085,8
1086,4
1087,3
1088,5
1089,1
1090,8
1091,3
1092,10
1093,4
1094,6
1095,1
1096,1
1097,3
1098,4
1099,1
1100,5
1101,1
1102,2
1103,1
1104,11
1105,4
1106,8
1107,5
1108,12
1109,9
1110,11
1111,8
1112,9
1113,5
1114,3
1115,2
1116,3
1117,12
1118,1
1119,11
1120,7
1121,10
1122,6
1123,5
1124,10
1125,5
1126,7
1127,11
1128,11
1129,3
1130,6
1131,10
1132,2
1133,10
1134,11
1135,7
1136,7
1137,11
1138,12
1139,10
1140,5
1141,7
1142,4
1143,7
1144,1
1145,1
1146,8
1147,8
1148,1
1149,8
1150,7
1151,11
1152,8
1153,4
1154,2
1155,1
1156,8
1157,9
1158,4
1159,6
1160,5
1161,1
1162,1
1163,2
1164,9
1165,3
1166,3
1167,1
1168,9
1169,7
1170,7
1171,9
1172,10
1173,5
1174,2
1175,3
1176,9
1177,9
1178,1
1179,5
1180,6
1181,10
1182,2
1183,6
1184,1
1185,10
1186,5
1187,3
1188,1
1189,1
1190,12
1191,3
1192,12
1193,5
1194,12
1195,5
1196,1
1197,8
1198,7
1199,11
1200,3
1201,10
1202,5
1203,12
1204,11
1205,9
1206,3
1207,1
1208,3
1209,7
1210,2
1211,11
1212,11
1213,5
1214,6
1215,1
1216,4
1217,6
1218,4
1219,9
1220,11
1221,7
1222,4
1223,12
1224,1
1225,8
1226,12
1227,7
1228,12
1229,4
1230,7
1231,11
1232,3
1233,10
1234,2
1235,6
1236,11
1237,9
1238,6
1239,8
1240,1
1241,3
1242,1
1243,11
1244,1
1245,7
1246,2
1247,8
1248,8
1249,9
1250,4
1251,11
1252,10
1253,2
1254,4
1255,11
1256,2
1257,10
1258,2
1259,10
1260,8
1261,10
1262,12
1263,3
1264,1
1265,11
1266,6
1267,2
1268,2
1269,2
1270,3
1271,12
1272,4
1273,8
1274,11
1275,3
1276,9
1277,5
1278,4
1279,8
1280,5
1281,2
1282,12
1283,7
1284,7
1285,4
1286,3
1287,11
1288,4
1289,7
1290,7
1291,12
1292,4
1293,4
1294,4
1295,7
1296,5
1297,3
1298,9
1299,4
1300,12
1301,6
1302,6
1303,7
1304,8
1305,10
1306,11
1307,2
1308,2
1309,4
1310,8
1311,5
1312,12
1313,1
1314,12
1315,9
1316,8
1317,2
1318,1
1319,7
1320,1
1321,9
1322,3
1323,4
1324,12
1325,3
1326,10
1327,1
1328,4
1329,12
1330,4
1331,2
1332,8
1333,8
1334,11
1335,11
1336,1
1337,10
1338,11
1339,6
1340,1
1341,2
1342,3
1343,10
1344,5
1345,10
1346,2
1347,9
1348,2
1349,11
1350,7
1351,12
1352,1
1353,12
1354,5
1355,1
1356,12
1357,8
1358,6
1359,8
1360,5
1361,3
1362,1
1363,2
1364,5
1365,11
1366,6
1367,8
1368,5
1369,11
1370,10
1371,2
1372,2
1373,8
1374,5
1375,2
1376,8
1377,8
1378,11
1379,8
1380,6
1381,7
1382,12
1383,7
1384,5
1385,12
1386,12
1387,11
1388,9
1389,8
1390,9
1391,6
1392,5
1393,3
1394,11
1395,12
1396,12
1397,2
1398,1
1399,2
1400,7
1401,1
1402,1
1403,2
1404,8
1405,1
1406,8
1407,7
1408,1
1409,3
1410,5
1411,2
1412,9
1413,6
1414,1
1415,9
1416,11
1417,2
1418,10
1419,4
1420,1
1421,7
1422,12
1423,10
1424,5
1425,9
1426,6
1427,6
1428,12
1429,7
1430,10
1431,9
1432,2
1433,9
1434,5
1435,2
1436,8
1437,6
1438,1
1439,7
1440,4
1441,11
1442,1
1443,3
1444,11
1445,3
1446,4
1447,5
1448,10
1449,7
1450,10
1451,2
1452,3
1453,8
1454,1
1455,9
1456,8
1457,10
1458,2
1459,9
1460,10
1461,11
1462,6
1463,3
1464,4
1465,4
1466,6
1467,5
1468,8
1469,12
1470,4
1471,3
1472,12
1473,12
1474,4
1475,1
1476,10
1477,2
1478,6
1479,6
1480,8
1481,2
1482,8
1483,2
1484,2
1485,6
1486,4
1487,12
1488,7
1489,6
1490,4
1491,6
1492,10
1493,3
1494,1
1495,9
1496,8
1497,5
1498,11
1499,6
1500,11
1501,6
1502,12
1503,9
1504,9
1505,1
1506,7
1507,5
1508,8
1509,7
1510,3
1511,7
1512,11
1513,1
1514,2
1515,10
1516,1
1517,2
1518,4
1519,11
1520,8
1521,1
1522,4
1523,3
1524,4
1525,1
1526,10
1527,10
1528,9
1529,10
1530,10
1531,2
1532,5
1533,1
1534,1
1535,1
1536,3
1537,2
1538,7
1539,6
1540,8
1541,4
1542,8
1543,8
1544,2
1545,1
1546,1
1547,3
1548,7
1549,11
1550,4
1551,3
1552,1
1553,12
1554,3
1555,8
1556,3
1557,3
1558,9
1559,2
1560,10
1561,2
1562,12
1563,8
1564,4
1565,11
1566,1
1567,10
1568,11
1569,8
1570,9
1571,6
1572,10
1573,1
1574,3
1575,2
1576,3
1577,12
1578,11
1579,2
1580,8
1581,1
1582,2
1583,3
1584,8
1585,11
1586,11
1587,6
1588,10
1589,4
1590,12
1591,12
1592,2
1593,4
1594,4
1595,3
1596,10
1597,5
1598,2
1599,2
1600,11
1601,12
1602,7
1603,1
1604,6
1605,2
1606,12
1607,4
1608,11
1609,11
1610,10
1611,11
1612,1
1613,12
1614,1
1615,4
1616,6
1617,12
1618,7
1619,4
1620,2
1621,2
1622,4
1623,6
1624,5
1625,6
1626,8
1627,6
1628,1
1629,1
1630,5
1631,12
1632,7
1633,11
1634,4
1635,4
1636,11
1637,10
1638,5
1639,11
1640,6
1641,6
1642,6
1643,6
1644,9
1645,2
1646,9
1647,2
1648,6
1649,4
1650,8
1651,3
1652,12
1653,1
1654,3
1655,8
1656,4
1657,2
1658,3
1659,12
1660,4
1661,3
1662,8
1663,1
1664,1
1665,4
1666,3
1667,9
1668,9
1669,11
1670,7
1671,7
1672,7
1673,11
1674,6
1675,5
1676,8
1677,4
1678,2
1679,5
1680,3
1681,8
1682,10
1683,6
1684,8
1685,4
1686,6
1687,4
1688,10
1689,9
1690,2
1691,1
1692,7
1693,9
1694,11
1695,9
1696,11
1697,2
1698,3
1699,11
1700,6
1701,3
1702,9
1703,11
1704,10
1705,11
1706,7
1707,3
1708,7
1709,11
1710,3
1711,9
1712,11
1713,6
1714,6
1715,12
1716,8
1717,10
1718,5
1719,4
1720,5
1721,9
1722,3
1723,6
1724,2
1725,2
1726,12
1727,8
1728,6
1729,9
1730,7
1731,8
1732,10
1733,8
1734,7
1735,6
1736,2
1737,11
1738,6
1739,6
1740,1
1741,7
1742,12
1743,4
1744,9
1745,2
1746,10
1747,10
1748,7
1749,3
1750,12
1751,3
1752,1
1753,8
1754,8
1755,6
1756,8
1757,9
1758,5
1759,8
1760,6
1761,2
1762,5
1763,7
1764,2
1765,1
1766,4
1767,9
1768,6
1769,6
1770,1
1771,1
1772,5
1773,5
1774,12
1775,10
1776,8
1777,11
1778,7
1779,5
1780,11
1781,3
1782,2
1783,8
1784,4
1785,2
1786,4
1787,4
1788,1
1789,3
1790,9
1791,12
1792,4
1793,8
1794,12
1795,6
1796,4
1797,8
1798,7
1799,2
1800,7
1801,2
1802,4
1803,7
1804,10
1805,9
1806,7
1807,11
1808,12
1809,6
1810,4
1811,12
1812,6
1813,11
1814,3
1815,2
1816,2
1817,7
1818,6
1819,5
1820,10
1821,6
1822,9
1823,12
1824,10
1825,1
1826,12
1827,11
1828,8
1829,1
1830,12
1831,5
1832,5
1833,7
1834,7
1835,12
1836,11
1837,6
1838,11
1839,5
1840,1
1841,4
1842,4
1843,6
1844,6
1845,9
1846,5
1847,12
1848,4
1849,9
1850,11
1851,8
1852,11
1853,1
1854,7
1855,1
1856,2
1857,5
1858,3
1859,7
1860,4
1861,9
1862,8
1863,3
1864,1
1865,1
1866,3
1867,6
1868,8
1869,2
1870,2
1871,4
1872,2
1873,5
1874,4
1875,8
1876,3
1877,8
1878,3
1879,2
1880,12
1881,7
1882,6
1883,2
1884,7
1885,2
1886,3
1887,2
1888,4
1889,5
1890,12
1891,11
1892,10
1893,1
1894,6
1895,5
1896,5
1897,12
1898,3
1899,2
1900,10
1901,1
1902,12
1903,10
1904,12
1905,10
1906,8
1907,12
1908,7
1909,6
1910,4
1911,3
1912,6
1913,9
1914,12
1915,5
1916,3
1917,5
1918,2
1919,8
1920,5
1921,11
1922,6
1923,11
1924,3
1925,10
1926,11
1927,6
1928,8
1929,2
1930,4
1931,8
1932,7
1933,11
1934,8
1935,6
1936,8
1937,2
1938,1
1939,10
1940,4
1941,1
1942,12
1943,1
1944,1
1945,7
1946,6
1947,1
